à + werkwoord;Om te + werkwoord
à condition que;op voorwaarde dat
à l’époque;destijds
à l’inverse;omgekeerd
à l’origine;oorspronkelijk
à partir de;vanaf
À quoi sert ce passage ?;Waartoe dient deze passage, dit stukje tekst?
À quoi servent ces exemples ?;Waartoe dienen deze voorbeelden?
à tout prix;tot elke prijs
accentuer;accentueren
acceptable;acceptabel, je vindt het wel ok
accepter tel qu’il est;accepteren zoals hij is
accro;verslaafd
acheter;kopen
acroissement, accroît, accru(e, s);groei, het groeit, is gegroeid
adapter;aanpassen
admirateur/admiration;bewonderend/bewondering
affaiblir;afzwakken (maar het is niet zo erg)
affirmer;beweren
afin de;Opdat
aider;helpen
aimer;houden van
aîné;oudere (ouder mens, oudere broer/zus)
ainsi;zo, op die manier
ainsi que;net als
ainsi;zo (zo kun je bijvoorbeeld …)
alimentaire;voedings-
alors;dus
alors même que;hoewel, terwijl
alors que;terwijl,
ambivalence;tegenstrijdigheid
améliorer;verbeteren
amusé;geamuseerd
ancien;oud
angoisse;angst
appliquer;in de praktijk brengen
apprécier;waarderen
apprendre, apprentissage;leren, het aanleren
approbation;goedkeuring
appuyer;ondersteunen (vaak met een voorbeeld)
arrogance;arrogantie, hooghartigheid
assez;nogal, tamelijk
assez;nogal
assurer;verzekeren
attirer;aantrekken
au contraire;daarentegen
au courant;op de hoogte
aucun;geen enkele
augmenter;toenemen
aujourd’hui;vandaag de dag
auparavant;vooraf, vantevoren
aussi;ook
aussi … que;net zo … als
autrefois;vroeger
avancer;verder gaan
avant;voorheen
avant tout;Voornamelijk
baisser, la baisse;dalen, de daling
beaucoup;veel
beur, maghrébin;iemand uit Marokko, Tunesië, Algerije
bien que;hoewel
bien sûr;uiteraard (toegeving)
bref;Kortom
c’est pour cela que;het is daarom dat …
c’est pourquoi;het is daarom …
c’est que;dat is omdat …
car;Want
carrément;gewoonweg
célèbre;beroemd
cependant;desalniettemin
certes;zeker, (je hebt een punt als je zegt …)
chacun;ieder
chagrin;verdriet, irritatie
changer;veranderen
chaque;elk
choisir;kiezen
chuter, la chute;dalen, de daling
comme;zoals
Comment cette phrase se rapporte-t-elle à la phrase qui précède?;Hoe verhoudt zich deze zin tot de voorgaande?
Comment peut-on résumer le premier alinéa ?;Hoe kun je de eerste alinea samenvatten?
comparer;vergelijken
comportement;gedrag
comprendre;begrijpen
conclure;concluderen
conduire;Leiden tot, ook: besturen (van auto, bijvoorbeeld)
confirmer;bevestigen
connu, connaître, la connaissance;bekend, kennen, de kennis
conseiller / déconseiller;aanraden, raad geven / afraden
consommer, la consommation;gebruiken, verbruiken, het verbruik
content;tevreden
content;tevreden
contrairement;in tegenstelling tot
contredire;tegenspreken (maar het is niet waar)
contribuer;bijdragen
convaincu;overtuigd
convaincu, convaincre;overtuigd, overtuigen
correspondre;overeenkomen
courageuse;moedig
critique;kritisch
critiquer;bekritiseren
croire, elle croit;geloven, ze gelooft
croître, croissant, accroissement;groeien, groeiend, de groei
cynique;cynisch
d’abord;eerst
d’abord*;eerst
d’ailleurs;en dan nog iets
d’après (le 2e alinéa);volgens (de 2e alinea)
d’autant (plus) que;des te meer omdat
d’une part … d’autre part;enerzijds, anderzijds
Dans quel but l’auteur a-t-il écrit cet article?;Met welk doel heeft de schrijver dit artikel geschreven?
davantage;vooral
de même;op dezelfde manier
de moins en moins;minder en minder
de nos jours;tegenwoordig
de plus en plus;meer en meer
De quel ton l’auteur parle-t-il ?;Op welke toon spreekt de schrijver ?
décevant, décevoir, la déception;teleurstellend, teleurstellen, de teleurstelling
décider, la décision;beslissen, de beslissing
décrire;beschrijven
déçu/décevant/déception;teleurgesteld/teleurstellend/teleurstelling
déduire;afleiden van
dehors;buiten
demander;vragen
démodé;ouderwets, uit de mode
depuis;sinds
dernier;laatste
dès;vanaf, zodra
désapprobateur/désapprobation;afkeurend/afkeuring
désormais;Voortaan
devenu, devenir;geworden, worden
difficile;moeilijk
diminuer, diminution;verminderen, vermindering
diversité;verscheidenheid
donc;Dus
donner;geven
donner des exemples;voorbeeld geven
donner la cause;de oorzaak geven
donner la conséquence;het gevolg geven
doutes;twijfelachtig
dur;moeilijk, hard
efficace;doeltreffend
également;ook, eveneens
élaborer;uitbreiden
en avoir marre;het zat zijn
en clair;Kortom
en contrepartie;integendeel
en effet;Inderdaad
en fait;eigenlijk, in feite
en outre;Bovendien
en plus / de plus;Bovendien
en raison de;door, vanwege
en résumé;Samengevat
en revanche;daarentegen
en somme;kortom, samengevat
En tant qu’élève, il faut travailler;Als leerling moet je werken
en tant que;als
encore;nog
encourager;aanmoedigen
encourager;aanmoedigen
enfin;ten slotte
ensemble;geheel, samen
ensuite;bovendien
ensuite*;vervolgens
enthousiaste/enthousiasme;enthousiast/enthousiasme
espoir;hoop
essentiellement;voornamelijk, hoofdzakelijk
et puis;en toen
et puis*;en toen
étonné/étonnement;verbaasd/verbaasdheid
étonner, étonnant, étonné;verbazen, verbazingwekkend, verbaasd
étranger;meestal: buitenland, ook: vreemdeling
éviter;vermijden
exceptionnel;buitengewoon
exigeant, l’exigence;veeleisend, de eis
expliquer;uitleggen
expliquer;verklaren
expliquer pourquoi;verklaren waarom
expliquer pourquoi;verklaren waarom
exprimer;uitdrukken
fâché;boos, kwaad
fâcheux;kwalijk, slecht
facile;gemakkelijk
faible, faiblesse, il faiblit;zwak, een zwakte, hij zwakt af
familles aisées, favorisées,;rijke, gegoede,
faux, fausse;fout
favoriser;begunstigen, de voorkeur geven aan
fier;trots
fierté/fier;trots/fier
finalement;Tenslotte
finalement *;Tot slot
fort;erg, buitengewoon
froid;afstandelijk, kil
frustré/frustration;teleurstellend/teleurstelling
gagner;verdienen, winnen
gênant;gênant, hinderlijk
grace à;Dankzij
grâce à;dank zij
hier;gisteren
honte;schaamte
hypocrisie;schijnheilig
il en résulte que;daaruit volgt dat
il faut;het is nodig om …
illustrer;illustreren, voorbeeld geven
illustrer;illustreren
impatience;ongeduld
imposer;indruk te maken op
inciter;aanzetten tot
indifférent/indifférence;onverschillig/onverschilligheid
indigné/indignation;verontwaardigd/verontwaardiging
inquiet/inquiétude;ongerust/bezorgdheid
inquiétant;verontrustend
